Year,Current,2022,2021,2020,2019
Market Capitalization,179,263,227,-,-
Market Cap Growth,-,15.98%,-,-,-
Enterprise Value,244,328,-57,-99,-17
PE Ratio,7.32,10.79,10.65,-,-
PS Ratio,2.22,3.26,3.23,-,-
PB Ratio,1.29,1.90,1.24,-,-
P/FCF Ratio,6.18,9.08,12.34,-,-
P/OCF Ratio,5.87,8.62,11.15,-,-
EV/Sales Ratio,3.03,4.07,-0.82,-1.81,-0.34
EV/EBITDA Ratio,7.62,10.25,-2.02,-6.15,-1.08
EV/EBIT Ratio,8.05,10.82,-2.14,-6.81,-1.19
EV/FCF Ratio,8.42,11.32,-3.11,-9.29,-1.44
Debt / Equity Ratio,1.09,1.09,0.12,0.16,0.07
Debt / EBITDA Ratio,4.72,4.72,0.79,1.39,0.50
Debt / FCF Ratio,5.22,5.22,1.22,2.10,0.67
Asset Turnover,0.04,0.04,0.03,0.04,-
Return on Equity (ROE),16.70%,16.70%,13.30%,9.10%,-
Return on Assets (ROA),1.00%,1.00%,1.00%,0.80%,-
Return on Capital (ROIC),1.40%,1.40%,1.50%,1.10%,-
Earnings Yield,13.62%,9.27%,9.39%,-,-
FCF Yield,16.18%,11.01%,8.10%,-,-
Dividend Yield,2.71%,1.78%,0.88%,-,-
Payout Ratio,19.20%,19.20%,9.30%,0.00%,0.00%
Buyback Yield / Dilution,-13.14%,-13.14%,-10.21%,-0.54%,-
Total Shareholder Return,-10.43%,-11.37%,-9.33%,-0.54%,-
