Year,Current,2022
Market Capitalization,91,182
Enterprise Value,-51,41
PE Ratio,123.40,-1029.64
PB Ratio,-33.84,-47.70
P/FCF Ratio,-189.38,-160.41
P/OCF Ratio,-189.38,-160.41
EV/EBITDA Ratio,66.52,-233.59
EV/EBIT Ratio,66.52,-233.59
EV/FCF Ratio,-47.96,-36.39
Debt / Equity Ratio,-0.25,-
Debt / EBITDA Ratio,1.91,-
Debt / FCF Ratio,-1.38,-
Current Ratio,22.80,28.91
Return on Equity (ROE),-17.60%,5.10%
Return on Assets (ROA),0.50%,-0.10%
Return on Capital (ROIC),0.50%,-0.10%
Earnings Yield,0.80%,-0.10%
FCF Yield,-1.10%,-0.62%
Buyback Yield / Dilution,-177.27%,-
Total Shareholder Return,-177.27%,-
