Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,19,14,52,71,84,190,200,109,66,59,28,Upgrade
Market Cap Growth,-,-72.48%,-26.16%,-15.07%,-56.02%,-4.87%,83.60%,64.82%,11.03%,114.29%,48.29%,Upgrade
Enterprise Value,32,28,58,81,81,198,181,97,52,50,8,Upgrade
PE Ratio,-0.78,-0.64,-7.10,73.01,-14.01,61.44,20.01,12.23,9.49,11.16,13.79,Upgrade
PS Ratio,0.13,0.11,0.33,0.54,0.58,1.67,2.15,1.41,1.03,1.19,0.76,Upgrade
PB Ratio,0.53,0.40,0.69,0.77,0.95,2.14,2.11,1.92,1.46,1.47,0.78,Upgrade
P/FCF Ratio,1.82,-2.64,2.64,-5.23,3.22,9.71,7.92,7.44,3.45,3.60,3.76,Upgrade
P/OCF Ratio,1.34,-15.76,2.15,-6.94,2.80,8.52,7.12,7.16,3.24,3.43,3.76,Upgrade
EV/Sales Ratio,0.23,0.21,0.36,0.62,0.56,1.74,1.95,1.25,0.82,0.99,0.21,Upgrade
EV/EBITDA Ratio,-1.74,-1.22,-13.50,23.85,-23.65,29.96,11.44,6.65,4.63,5.66,2.24,Upgrade
EV/EBIT Ratio,-1.45,-1.07,-7.64,150.78,-13.54,41.05,12.56,7.21,5.09,6.29,2.74,Upgrade
EV/FCF Ratio,3.34,-5.05,2.92,-5.99,3.11,10.13,7.16,6.62,2.74,3.00,1.06,Upgrade
Debt / Equity Ratio,0.76,0.70,0.39,0.32,0.33,0.33,0.31,-,-,-,-,Upgrade
Debt / EBITDA Ratio,-1.51,-1.11,-6.95,8.71,-8.64,4.43,1.85,-,-,-,-,Upgrade
Debt / FCF Ratio,2.61,-4.60,1.50,-2.19,1.14,1.50,1.15,-,-,-,-,Upgrade
Asset Turnover,0.43,0.42,0.51,0.42,0.49,0.44,0.42,0.47,0.45,0.39,0.38,Upgrade
Return on Equity (ROE),-47.30%,-49.90%,-8.90%,1.10%,-6.90%,3.50%,10.90%,16.70%,16.20%,13.90%,9.50%,Upgrade
Return on Assets (ROA),-5.80%,-7.20%,-2.30%,0.30%,-2.00%,1.20%,4.50%,5.40%,4.90%,4.10%,2.10%,Upgrade
Return on Capital (ROIC),-6.00%,-7.90%,-2.40%,0.20%,-2.00%,1.80%,7.20%,8.70%,7.70%,6.60%,3.30%,Upgrade
Earnings Yield,-104.73%,-156.16%,-14.07%,1.37%,-7.14%,1.63%,5.00%,8.18%,10.54%,8.96%,7.25%,Upgrade
FCF Yield,55.00%,-37.90%,37.86%,-19.10%,31.01%,10.29%,12.63%,13.44%,29.00%,27.79%,26.61%,Upgrade
Dividend Yield,5.59%,8.86%,3.23%,2.75%,4.19%,2.26%,1.60%,1.79%,2.38%,2.23%,2.34%,Upgrade
Payout Ratio,-4.60%,-5.70%,-22.90%,202.20%,-59.10%,137.90%,31.50%,21.70%,22.40%,24.70%,31.40%,Upgrade
Buyback Yield / Dilution,-1.19%,-0.54%,1.33%,0.40%,-0.53%,-1.28%,-35.54%,-5.82%,-0.28%,-81.22%,-4.85%,Upgrade
Total Shareholder Return,4.92%,8.31%,4.56%,3.15%,3.66%,0.98%,-33.94%,-4.03%,2.10%,-78.99%,-2.51%,Upgrade
