Year,Current,2022,2021
Market Capitalization,282,275,249
Market Cap Growth,-,10.47%,-
Enterprise Value,282,275,248
PE Ratio,150.14,140.10,-2223.39
PB Ratio,-35.26,-35.26,-37.03
P/FCF Ratio,-257.15,-257.15,-9671.41
P/OCF Ratio,-257.15,-257.15,-9671.41
EV/EBITDA Ratio,143.71,140.15,-2214.79
EV/EBIT Ratio,143.71,140.15,-2214.79
EV/FCF Ratio,-257.25,-257.25,-9633.97
Debt / Equity Ratio,-0.06,-0.06,-0.01
Debt / EBITDA Ratio,0.25,0.25,-0.38
Debt / FCF Ratio,-0.47,-0.47,-1.64
Current Ratio,0.64,0.64,2.07
Return on Equity (ROE),-26.00%,-26.00%,-
Return on Assets (ROA),0.90%,0.90%,-
Return on Capital (ROIC),0.90%,0.90%,-
Earnings Yield,0.70%,0.71%,-0.04%
FCF Yield,-0.38%,-0.39%,-0.01%
Buyback Yield / Dilution,-263.63%,-263.63%,-
Total Shareholder Return,-263.63%,-263.63%,-
