Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,283,578,745,470,608,603,793,841,624,601,623,Upgrade
Market Cap Growth,-,-22.51%,58.75%,-22.81%,0.91%,-23.93%,-5.77%,34.82%,3.81%,-3.53%,31.45%,Upgrade
Enterprise Value,"1,039","1,525","1,533","1,392","1,845","1,735","2,051","2,072","1,853","1,623","1,602",Upgrade
PE Ratio,4.59,7.51,9.11,13.54,14.74,10.94,19.27,12.96,13.50,13.59,16.50,Upgrade
PS Ratio,1.23,2.32,2.91,2.56,3.61,3.40,4.57,3.75,3.65,3.67,4.41,Upgrade
PB Ratio,0.42,0.85,1.10,0.76,1.05,1.10,1.49,1.64,1.32,1.32,1.44,Upgrade
P/FCF Ratio,9.45,7.10,8.78,6.83,10.21,8.39,10.70,9.89,11.59,11.33,8.46,Upgrade
P/OCF Ratio,8.14,6.74,8.41,6.59,9.54,7.80,9.49,19.84,13.95,10.48,8.37,Upgrade
EV/Sales Ratio,4.52,6.14,5.98,7.60,10.94,9.79,11.81,9.22,10.83,9.91,11.34,Upgrade
EV/EBITDA Ratio,11.09,13.70,13.18,27.03,31.14,24.34,28.90,18.75,24.08,21.46,24.98,Upgrade
EV/EBIT Ratio,11.92,14.54,14.03,30.81,34.60,26.50,31.01,19.54,25.26,22.29,26.38,Upgrade
EV/FCF Ratio,34.68,18.73,18.06,20.24,30.98,24.13,27.68,24.37,34.41,30.60,21.75,Upgrade
Debt / Equity Ratio,1.39,1.62,1.28,1.74,2.22,2.28,2.46,2.46,2.69,2.32,2.34,Upgrade
Debt / EBITDA Ratio,9.96,9.87,7.48,20.97,21.71,17.55,18.45,11.47,16.52,13.97,15.78,Upgrade
Debt / FCF Ratio,31.13,13.50,10.24,15.71,21.60,17.40,17.68,14.90,23.62,19.91,13.75,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),9.50%,11.40%,12.40%,6.00%,7.30%,10.20%,7.70%,12.80%,9.90%,9.70%,8.70%,Upgrade
Return on Assets (ROA),0.80%,0.90%,1.00%,0.50%,0.60%,0.80%,0.70%,1.10%,0.80%,0.90%,0.80%,Upgrade
Return on Capital (ROIC),0.90%,1.10%,1.20%,0.50%,0.60%,0.80%,0.90%,1.50%,1.10%,1.20%,1.10%,Upgrade
Earnings Yield,22.57%,13.32%,10.97%,7.38%,6.79%,9.14%,5.19%,7.72%,7.41%,7.36%,6.06%,Upgrade
FCF Yield,10.58%,14.09%,11.39%,14.64%,9.79%,11.93%,9.35%,10.11%,8.63%,8.83%,11.82%,Upgrade
Dividend Yield,9.17%,4.54%,3.46%,5.05%,3.89%,3.72%,2.62%,2.31%,2.96%,2.96%,2.51%,Upgrade
Payout Ratio,42.10%,35.20%,32.40%,71.20%,58.30%,41.70%,51.10%,30.40%,40.30%,40.30%,41.30%,Upgrade
Buyback Yield / Dilution,3.26%,2.84%,-8.71%,-0.22%,-0.56%,2.84%,-0.70%,0.73%,2.77%,1.49%,2.58%,Upgrade
Total Shareholder Return,12.43%,7.38%,-5.25%,4.83%,3.33%,6.56%,1.91%,3.05%,5.72%,4.45%,5.10%,Upgrade
