Year,Current,2022,2021,2020,2019
Market Capitalization,"4,843","4,278","12,757","1,252",-
Market Cap Growth,-,-66.47%,919.14%,-,-
Enterprise Value,"8,167","8,052","16,169","4,985","4,395"
PE Ratio,-23.20,-13.35,-26.36,-5.59,-
PS Ratio,2.85,2.72,12.95,2.21,-
PB Ratio,0.93,0.82,2.91,-10.42,-
P/FCF Ratio,-0.66,-0.58,-9.10,-2.48,-
P/OCF Ratio,-0.67,-0.59,-9.45,-2.61,-
EV/Sales Ratio,4.76,5.12,16.42,8.82,9.93
EV/EBITDA Ratio,-113.03,-48.11,-42.59,-19.27,-19.65
EV/EBIT Ratio,-36.51,-25.26,-33.60,-15.18,-18.34
EV/FCF Ratio,-1.05,-1.09,-11.53,-9.89,-47.60
Debt / Equity Ratio,1.20,1.08,0.96,-42.10,-15.00
Debt / EBITDA Ratio,-79.00,-33.58,-11.01,-19.55,-22.74
Debt / FCF Ratio,-0.73,-0.76,-2.98,-10.04,-55.08
Current Ratio,-,-,-,5.78,-
Asset Turnover,0.10,0.11,0.12,0.07,-
Return on Equity (ROE),-4.70%,-6.20%,-15.40%,97.60%,-
Return on Assets (ROA),-1.40%,-2.10%,-6.00%,-2.80%,-
Return on Capital (ROIC),-1.30%,-2.00%,-5.10%,-2.90%,-
Earnings Yield,-5.00%,-7.49%,-3.79%,-17.90%,-
FCF Yield,-175.14%,-172.04%,-10.99%,-40.25%,-
Buyback Yield / Dilution,-8.96%,-71.03%,-613.23%,-12.54%,-87.00%
Total Shareholder Return,-8.96%,-71.03%,-613.23%,-12.54%,-87.00%
