Year,Current,2021,2020,2019,2018,2017,2016
Market Capitalization,"4,844","3,548","3,119",828,-,-,-
Market Cap Growth,-,13.78%,276.42%,-,-,-,-
Enterprise Value,"5,019","3,674","2,883",834,18,87,24
PE Ratio,61.55,16.28,21.92,33.36,-,-,-
PS Ratio,7.66,6.07,11.73,9.94,-,-,-
PB Ratio,7.00,6.41,11.25,6.31,-,-,-
P/FCF Ratio,-7.72,-7.92,5.86,10.28,-,-,-
P/OCF Ratio,-8.24,-8.01,5.84,10.03,-,-,-
EV/Sales Ratio,7.95,6.28,10.84,10.00,0.24,1.50,1.26
EV/EBITDA Ratio,20.18,11.21,15.28,19.03,0.70,2.49,2.50
EV/EBIT Ratio,20.85,11.41,15.64,20.85,0.77,2.60,2.55
EV/FCF Ratio,-8.12,-8.20,5.41,10.34,0.33,-0.73,5.16
Debt / Equity Ratio,1.87,1.62,1.52,1.03,0.90,1.37,1.36
Debt / EBITDA Ratio,5.21,2.74,2.24,3.08,4.21,5.00,6.12
Debt / FCF Ratio,-2.88,-2.01,0.79,1.67,1.98,-1.47,12.64
Asset Turnover,0.15,0.22,0.18,0.18,0.23,0.25,-
Return on Equity (ROE),9.70%,43.10%,67.20%,18.60%,6.30%,21.30%,-
Return on Assets (ROA),1.40%,8.20%,9.80%,5.40%,2.20%,7.70%,-
Return on Capital (ROIC),5.40%,13.20%,19.40%,9.50%,6.50%,11.60%,-
Earnings Yield,1.25%,6.14%,4.56%,3.00%,-,-,-
FCF Yield,-9.28%,-12.62%,17.07%,9.73%,-,-,-
Buyback Yield / Dilution,0.02%,-1.60%,-0.33%,-0.02%,-74.39%,-197.79%,-
Total Shareholder Return,0.02%,-1.60%,-0.33%,-0.02%,-74.39%,-197.79%,-
