Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,734,"2,704","5,297","2,966","4,524","4,053","6,498","6,548","5,181","4,633","1,871",Upgrade
Market Cap Growth,-,-48.95%,78.56%,-34.43%,11.63%,-37.64%,-0.76%,26.39%,11.82%,147.61%,111.58%,Upgrade
Enterprise Value,"6,805","3,095","2,103",276,"6,104","5,492","7,030","7,475","5,842","5,137","1,970",Upgrade
PE Ratio,-1.25,6.69,8.73,-2.40,9.65,8.71,18.16,18.59,17.29,27.43,41.47,Upgrade
PS Ratio,0.55,2.02,3.63,3.61,3.99,3.54,6.19,6.50,6.01,6.69,6.11,Upgrade
PB Ratio,0.26,0.68,1.32,0.83,0.91,0.84,1.31,1.46,1.18,1.32,2.31,Upgrade
P/FCF Ratio,1.77,4.65,11.64,6.99,8.83,7.15,15.74,12.56,9.97,12.74,40.08,Upgrade
P/OCF Ratio,1.34,3.85,10.53,6.13,7.76,6.67,13.43,11.27,8.72,13.95,37.23,Upgrade
EV/Sales Ratio,5.14,2.31,1.44,0.34,5.38,4.80,6.69,7.42,6.78,7.41,6.43,Upgrade
EV/EBITDA Ratio,-9.51,4.65,2.29,-0.26,8.48,7.95,11.70,12.31,11.36,16.49,18.09,Upgrade
EV/EBIT Ratio,-8.44,5.45,2.56,-0.24,9.64,8.67,12.67,13.40,12.17,18.04,25.46,Upgrade
EV/FCF Ratio,16.43,5.33,4.62,0.65,11.91,9.68,17.03,14.34,11.24,14.12,42.20,Upgrade
Debt / Equity Ratio,4.60,0.67,0.22,0.13,0.45,0.38,0.19,0.30,0.24,0.23,0.30,Upgrade
Debt / EBITDA Ratio,-16.80,3.96,0.94,-0.44,3.08,2.64,1.55,2.22,2.06,2.62,2.26,Upgrade
Debt / FCF Ratio,30.78,4.53,1.90,1.11,4.33,3.22,2.25,2.58,2.04,2.25,5.28,Upgrade
Asset Turnover,0.03,0.03,0.04,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),-25.30%,10.50%,15.70%,-35.60%,9.60%,9.70%,7.70%,7.80%,8.00%,6.00%,6.00%,Upgrade
Return on Assets (ROA),-2.20%,1.00%,1.70%,-4.40%,1.80%,1.90%,1.60%,1.70%,1.70%,1.20%,0.70%,Upgrade
Return on Capital (ROIC),-2.00%,1.40%,2.70%,-4.50%,2.50%,2.70%,2.60%,2.80%,2.90%,2.30%,1.30%,Upgrade
Earnings Yield,-125.46%,14.95%,11.46%,-41.72%,10.36%,11.48%,5.51%,5.38%,5.78%,3.65%,2.41%,Upgrade
FCF Yield,56.41%,21.49%,8.59%,14.31%,11.33%,13.99%,6.35%,7.96%,10.03%,7.85%,2.49%,Upgrade
Dividend Yield,16.63%,4.36%,2.21%,5.31%,6.27%,6.91%,3.97%,3.67%,4.64%,2.75%,2.37%,Upgrade
Payout Ratio,-12.70%,29.70%,19.60%,-12.70%,61.50%,61.80%,68.70%,69.00%,71.70%,65.10%,92.60%,Upgrade
Buyback Yield / Dilution,-0.52%,-0.47%,-0.41%,1.21%,2.92%,5.56%,-7.20%,-0.07%,-17.95%,-129.96%,-24.13%,Upgrade
Total Shareholder Return,16.11%,3.89%,1.81%,6.52%,9.19%,12.47%,-3.23%,3.61%,-13.31%,-127.21%,-21.76%,Upgrade
