Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,51,61,75,48,104,122,137,121,186,199,-
Market Cap Growth,-,-18.86%,55.13%,-53.24%,-14.95%,-10.98%,12.68%,-34.69%,-6.52%,-,-
Enterprise Value,185,199,228,210,243,231,205,216,310,253,34
PE Ratio,-27.04,23.58,-32.49,-1.96,-7.13,7.80,5.81,-13.00,12.05,12.30,-
PS Ratio,2.07,2.50,2.82,1.41,3.01,2.99,4.41,3.41,5.04,9.41,-
PB Ratio,0.56,0.65,0.78,0.45,0.72,0.71,0.81,0.75,0.94,0.99,-
P/FCF Ratio,2.93,2.88,3.72,-4.59,-7.42,-4.33,3.02,2.94,-3.87,-3.12,-
P/OCF Ratio,2.93,2.88,3.72,-4.59,-7.42,-4.33,3.02,2.94,-3.87,-3.12,-
EV/Sales Ratio,7.44,8.13,8.54,6.11,7.06,5.67,6.61,6.07,8.39,11.96,5.01
EV/EBITDA Ratio,33.36,20.93,42.90,-14.06,-44.02,9.44,7.24,-40.78,16.33,13.56,4.16
EV/EBIT Ratio,33.36,20.93,42.90,-14.06,-44.02,9.44,7.24,-40.78,16.33,13.56,4.16
EV/FCF Ratio,10.53,9.36,11.28,-19.95,-17.39,-8.22,4.53,5.23,-6.43,-3.96,-0.21
Debt / Equity Ratio,1.55,1.57,1.72,1.69,1.16,0.69,0.60,0.80,0.75,0.43,0.88
Debt / EBITDA Ratio,25.60,15.47,31.13,-12.17,-30.00,4.81,3.58,-24.73,7.83,4.59,9.39
Debt / FCF Ratio,8.08,6.92,8.19,-17.28,-11.86,-4.19,2.24,3.17,-3.09,-1.34,-0.48
Asset Turnover,0.10,0.09,0.09,0.11,0.11,0.13,0.10,0.11,0.11,0.09,-
Return on Equity (ROE),-2.00%,2.60%,-2.20%,-19.70%,-9.40%,9.10%,14.10%,-5.50%,7.70%,11.30%,-
Return on Assets (ROA),-0.70%,0.90%,-0.80%,-7.80%,-4.50%,5.00%,7.80%,-2.80%,4.40%,6.50%,-
Return on Capital (ROIC),1.40%,2.20%,1.20%,-3.20%,-1.20%,5.80%,7.50%,-1.20%,4.10%,6.40%,-
Earnings Yield,-3.65%,4.24%,-3.08%,-50.88%,-14.03%,12.82%,17.23%,-7.69%,8.30%,8.13%,-
FCF Yield,34.10%,34.78%,26.88%,-21.77%,-13.47%,-23.10%,33.10%,34.02%,-25.87%,-32.07%,-
Dividend Yield,16.90%,14.07%,12.77%,26.37%,13.15%,11.23%,12.03%,20.57%,10.06%,3.56%,-
Payout Ratio,-461.50%,333.30%,-405.90%,-52.00%,-93.50%,87.70%,69.90%,-268.70%,121.20%,101.80%,-
Buyback Yield / Dilution,-0.03%,-2.85%,-1.21%,-0.81%,0.43%,-0.03%,-0.09%,-0.05%,-0.00%,-,-
Total Shareholder Return,16.78%,11.22%,11.55%,25.56%,13.58%,11.21%,11.94%,20.51%,10.06%,3.56%,-
