Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,255","2,128","2,027","1,732","2,218","1,907","2,158","2,411","1,557","1,655","1,803",Upgrade
Market Cap Growth,-,4.97%,17.03%,-21.89%,16.27%,-11.63%,-10.48%,54.89%,-5.95%,-8.22%,23.94%,Upgrade
Enterprise Value,"2,179","3,154",347,368,"2,294","1,750","3,326","3,706","2,745","2,321","1,896",Upgrade
PE Ratio,13.52,29.60,13.76,10.82,14.74,12.75,20.43,22.24,13.41,13.39,15.41,Upgrade
PS Ratio,1.77,3.14,3.05,2.64,3.68,3.25,3.69,4.41,2.81,2.90,3.17,Upgrade
PB Ratio,0.80,1.43,1.16,1.00,1.34,1.20,1.37,1.59,1.06,1.17,1.33,Upgrade
P/FCF Ratio,6.39,7.95,6.36,46.41,24.93,8.99,11.00,17.61,10.10,8.13,6.23,Upgrade
P/OCF Ratio,5.29,7.18,5.81,26.51,19.04,7.97,10.45,16.25,9.02,7.83,5.99,Upgrade
EV/Sales Ratio,3.07,4.66,0.52,0.56,3.81,2.98,5.69,6.78,4.96,4.06,3.33,Upgrade
EV/EBITDA Ratio,15.95,27.76,1.57,1.59,10.76,8.30,17.25,21.05,14.56,11.71,9.92,Upgrade
EV/EBIT Ratio,21.90,42.77,1.98,1.94,13.20,10.18,21.55,26.57,18.13,14.32,12.31,Upgrade
EV/FCF Ratio,11.09,11.79,1.09,9.86,25.79,8.25,16.95,27.07,17.82,11.40,6.55,Upgrade
Debt / Equity Ratio,1.42,1.18,0.34,0.34,0.26,0.12,0.96,1.07,1.00,0.69,0.32,Upgrade
Debt / EBITDA Ratio,16.26,15.50,2.65,2.55,2.04,0.91,7.80,9.21,7.78,4.95,2.29,Upgrade
Debt / FCF Ratio,11.31,6.58,1.84,15.77,4.90,0.91,7.66,11.85,9.52,4.82,1.51,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),6.00%,4.60%,8.40%,9.40%,9.20%,9.40%,6.80%,7.10%,7.90%,8.80%,8.70%,Upgrade
Return on Assets (ROA),0.50%,0.40%,0.90%,1.00%,1.10%,1.10%,0.80%,0.80%,0.90%,1.00%,1.00%,Upgrade
Return on Capital (ROIC),0.60%,0.40%,1.20%,1.30%,1.30%,1.30%,1.10%,1.00%,1.20%,1.30%,1.30%,Upgrade
Earnings Yield,7.41%,3.38%,7.27%,9.24%,6.78%,7.84%,4.89%,4.50%,7.45%,7.47%,6.49%,Upgrade
FCF Yield,15.65%,12.58%,15.71%,2.15%,4.01%,11.12%,9.09%,5.68%,9.90%,12.30%,16.05%,Upgrade
Dividend Yield,4.48%,2.64%,2.83%,3.37%,2.67%,3.24%,2.89%,2.58%,3.99%,3.75%,3.43%,Upgrade
Payout Ratio,60.90%,78.60%,39.10%,36.50%,39.50%,41.40%,59.00%,57.50%,53.50%,50.30%,52.60%,Upgrade
Buyback Yield / Dilution,0.84%,2.40%,1.53%,1.30%,4.22%,0.96%,-0.17%,-0.10%,-0.17%,-0.38%,-3.71%,Upgrade
Total Shareholder Return,5.31%,5.03%,4.37%,4.67%,6.88%,4.20%,2.72%,2.48%,3.82%,3.37%,-0.29%,Upgrade
