Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"1,955","1,082","12,400","2,953",-,-
Market Cap Growth,-,-91.27%,319.95%,-,-,-
Enterprise Value,"2,528","1,637","12,005","2,724",152,379
PE Ratio,-4.78,-9.96,91.55,493.53,-,-
PS Ratio,2.96,1.29,14.61,12.65,-,-
PB Ratio,3.00,1.61,15.36,9.83,-,-
P/FCF Ratio,-2.55,-1.55,80.92,292.59,-,-
P/OCF Ratio,-2.67,-1.60,73.66,188.11,-,-
EV/Sales Ratio,3.98,1.94,14.15,11.67,0.92,3.82
EV/EBITDA Ratio,-7.65,-17.13,84.98,315.51,397.15,-31.57
EV/EBIT Ratio,-7.16,-15.01,89.77,428.63,-387.02,-30.76
EV/FCF Ratio,-3.83,-2.35,78.34,269.87,5.77,7.69
Debt / Equity Ratio,1.75,1.62,0.99,0.27,-3.70,-7.52
Debt / EBITDA Ratio,-4.33,-11.38,5.63,9.51,606.75,-41.75
Debt / FCF Ratio,-2.17,-1.56,5.19,8.13,8.81,10.17
Asset Turnover,0.34,0.43,0.70,0.54,0.32,-
Return on Equity (ROE),-39.00%,-14.40%,21.10%,5.00%,0.70%,-
Return on Assets (ROA),-14.30%,-5.60%,11.20%,1.40%,-0.10%,-
Return on Capital (ROIC),-12.50%,-5.40%,18.80%,1.60%,0.00%,-
Earnings Yield,-14.40%,-10.04%,1.09%,0.20%,-,-
FCF Yield,-26.96%,-64.45%,1.24%,0.34%,-,-
Buyback Yield / Dilution,14.19%,12.66%,-441.14%,-22.17%,-1.47%,-1.83%
Total Shareholder Return,14.19%,12.66%,-441.14%,-22.17%,-1.47%,-1.83%
