Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,"1,046",799,888,796,751,"1,018","1,718","1,519","2,170","2,093","2,292",Upgrade
Market Cap Growth,-,-10.10%,11.59%,5.96%,-26.18%,-40.77%,13.09%,-29.97%,3.69%,-8.69%,199.35%,Upgrade
Enterprise Value,"1,132",863,940,875,858,"1,127","1,598","1,365","1,960","1,927","2,187",Upgrade
PE Ratio,14.91,15.76,17.84,-22.32,-72.06,27.78,63.17,58.09,27.10,34.28,44.46,Upgrade
PS Ratio,3.43,2.65,2.92,3.19,2.82,3.71,7.53,6.94,7.26,11.39,15.33,Upgrade
PB Ratio,3.28,2.61,3.30,2.99,2.23,2.84,8.90,7.55,9.25,11.36,21.02,Upgrade
P/FCF Ratio,20.05,14.55,11.84,17.06,13.08,27.21,35.64,28.22,14.23,26.92,35.85,Upgrade
P/OCF Ratio,19.98,14.50,11.79,16.89,13.07,27.16,35.42,27.67,13.99,25.32,32.68,Upgrade
EV/Sales Ratio,3.71,2.86,3.09,3.50,3.22,4.11,7.00,6.24,6.56,10.49,14.63,Upgrade
EV/EBITDA Ratio,11.18,15.38,13.10,-40.98,55.08,18.69,26.81,24.00,14.18,25.91,42.08,Upgrade
EV/EBIT Ratio,11.35,15.72,13.62,-34.24,75.54,19.11,27.46,24.57,14.28,26.20,42.44,Upgrade
EV/FCF Ratio,21.69,15.73,12.52,18.75,14.94,30.14,33.14,25.35,12.85,24.79,34.22,Upgrade
Debt / Equity Ratio,1.05,1.06,1.18,0.70,0.59,0.55,0.00,0.01,-,-,-,Upgrade
Debt / EBITDA Ratio,3.31,5.75,4.45,-8.77,12.79,3.26,0.02,0.02,-,-,-,Upgrade
Debt / FCF Ratio,6.42,5.88,4.25,4.01,3.47,5.25,0.02,0.02,-,-,-,Upgrade
Current Ratio,2.24,1.98,3.63,1.92,1.56,1.88,2.69,4.07,4.90,6.29,4.24,Upgrade
Asset Turnover,0.30,0.30,0.31,0.28,0.28,0.36,0.93,0.89,1.12,0.96,1.38,Upgrade
Return on Equity (ROE),25.40%,17.70%,18.80%,-12.30%,-2.90%,11.40%,13.70%,12.80%,36.50%,37.70%,61.20%,Upgrade
Return on Assets (ROA),7.60%,5.00%,5.00%,-4.10%,-1.10%,4.80%,11.10%,10.60%,30.00%,32.00%,47.60%,Upgrade
Return on Capital (ROIC),29.50%,15.70%,17.20%,-10.40%,3.50%,24.00%,49.10%,118.70%,392.30%,248.60%,708.50%,Upgrade
Earnings Yield,7.38%,6.35%,5.61%,-4.48%,-1.39%,3.60%,1.58%,1.72%,3.69%,2.92%,2.25%,Upgrade
FCF Yield,4.99%,6.87%,8.45%,5.86%,7.65%,3.67%,2.81%,3.54%,7.03%,3.71%,2.79%,Upgrade
Dividend Yield,1.71%,2.39%,2.18%,2.24%,2.43%,1.87%,2.53%,2.85%,3.65%,0.53%,-,Upgrade
Payout Ratio,25.50%,38.70%,38.70%,-48.00%,-150.00%,52.20%,160.00%,168.40%,98.30%,17.40%,0.00%,Upgrade
Buyback Yield / Dilution,-11.98%,1.46%,-8.46%,2.07%,4.16%,-16.48%,-0.34%,2.37%,-0.20%,0.89%,-1.33%,Upgrade
Total Shareholder Return,-10.27%,3.84%,-6.28%,4.31%,6.59%,-14.61%,2.19%,5.22%,3.45%,1.42%,-1.33%,Upgrade
