Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,509,395,496,410,-,-,-,-,-
Market Cap Growth,-,-20.37%,20.80%,-,-,-,-,-,-
Enterprise Value,"1,351","1,032","1,103",867,309,225,142,89,50
PE Ratio,65.19,25.40,5.93,7.51,-,-,-,-,-
PS Ratio,3.93,3.38,5.28,5.32,-,-,-,-,-
PB Ratio,0.71,0.64,0.76,0.73,-,-,-,-,-
P/FCF Ratio,15.53,14.12,-3.14,-6.64,-,-,-,-,-
P/OCF Ratio,15.53,14.12,-3.14,-6.64,-,-,-,-,-
EV/Sales Ratio,10.42,8.84,11.74,11.25,5.77,6.77,6.35,6.38,15.06
EV/EBITDA Ratio,184.70,65.74,12.85,15.71,10.49,27.36,15.59,7.52,-23.08
EV/EBIT Ratio,184.70,65.74,12.85,15.71,10.49,27.36,15.59,7.52,-23.08
EV/FCF Ratio,41.19,36.93,-7.00,-14.04,-1.52,-1.37,-1.60,-1.13,-0.38
Debt / Equity Ratio,1.22,1.07,0.97,0.84,0.79,0.91,0.87,0.73,0.70
Debt / EBITDA Ratio,119.77,41.69,7.35,8.55,10.95,28.62,16.61,7.96,-25.30
Debt / FCF Ratio,26.71,23.41,-4.00,-7.64,-1.59,-1.43,-1.71,-1.19,-0.42
Asset Turnover,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,-
Return on Equity (ROE),1.10%,2.50%,13.90%,10.50%,8.40%,3.70%,5.70%,10.60%,-
Return on Assets (ROA),0.50%,1.20%,7.10%,5.60%,4.40%,1.90%,3.00%,6.00%,-
Return on Capital (ROIC),0.30%,0.80%,5.00%,4.00%,3.20%,1.30%,2.10%,4.30%,-
Earnings Yield,1.40%,3.94%,16.87%,13.32%,-,-,-,-,-
FCF Yield,6.44%,7.08%,-31.80%,-15.06%,-,-,-,-,-
Dividend Yield,12.71%,14.01%,9.71%,11.06%,-,-,-,-,-
Payout Ratio,828.60%,358.00%,57.50%,82.80%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-5.11%,-8.46%,-2.88%,-59.60%,-61.80%,-41.75%,-45.67%,-217.31%,-
Total Shareholder Return,7.60%,5.54%,6.83%,-48.54%,-61.80%,-41.75%,-45.67%,-217.31%,-
