Year,Current,2022,2021,2020,2019
Market Capitalization,213,249,347,-,-
Market Cap Growth,-,-28.10%,-,-,-
Enterprise Value,33,47,71,-100,-36
PE Ratio,9.55,14.47,30.36,-,-
PS Ratio,1.74,2.24,4.06,-,-
PB Ratio,0.55,0.65,1.16,-,-
P/FCF Ratio,10.83,22.82,-334.80,-,-
P/OCF Ratio,7.36,11.44,75.67,-,-
EV/Sales Ratio,0.27,0.42,0.83,-1.58,-1.06
EV/EBITDA Ratio,1.02,2.06,4.98,-6.35,-8.70
EV/EBIT Ratio,1.03,2.02,4.89,-6.39,-11.04
EV/FCF Ratio,1.67,4.28,-68.36,20.14,-58.41
Debt / Equity Ratio,0.34,0.34,0.17,0.86,1.07
Debt / EBITDA Ratio,4.09,5.70,3.59,6.62,14.72
Debt / FCF Ratio,6.68,11.84,-49.23,-20.99,98.81
Asset Turnover,0.03,0.03,0.04,0.05,-
Return on Equity (ROE),6.40%,5.10%,5.40%,13.70%,-
Return on Assets (ROA),0.60%,0.50%,0.50%,0.90%,-
Return on Capital (ROIC),0.90%,0.70%,0.70%,1.20%,-
Earnings Yield,10.92%,6.91%,3.29%,-,-
FCF Yield,9.24%,4.38%,-0.30%,-,-
Buyback Yield / Dilution,-1.02%,-1.36%,-8.42%,-,-
Total Shareholder Return,-1.02%,-1.36%,-8.42%,-,-
