Year,Current,2022,2021
Market Capitalization,260,257,246
Market Cap Growth,-,4.55%,-
Enterprise Value,260,256,244
PE Ratio,20.43,20.23,56.55
PB Ratio,-74.04,-74.04,-14.85
P/FCF Ratio,-541.05,-541.05,-426.75
P/OCF Ratio,-541.05,-541.05,-426.75
EV/EBITDA Ratio,20.42,20.17,56.24
EV/EBIT Ratio,20.42,20.17,56.24
EV/FCF Ratio,-539.49,-539.49,-424.45
Current Ratio,9.90,9.90,7.68
Return on Equity (ROE),-147.40%,-147.40%,-
Return on Assets (ROA),6.20%,6.20%,-
Return on Capital (ROIC),6.20%,6.20%,-
Earnings Yield,4.88%,4.94%,1.77%
FCF Yield,-0.18%,-0.18%,-0.23%
Buyback Yield / Dilution,-164.89%,-164.89%,-
Total Shareholder Return,-164.89%,-164.89%,-
