Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,"6,913","6,607","8,880","8,004","7,948","5,550","5,426","5,294","5,303","4,808","4,826",Upgrade
Market Cap Growth,-,-25.60%,10.95%,0.70%,43.21%,2.28%,2.50%,-0.16%,10.30%,-0.39%,76.71%,Upgrade
Enterprise Value,"7,485","7,200","9,042","8,049","8,088","6,302","5,498","5,329","5,179","4,660","4,747",Upgrade
PE Ratio,28.90,23.89,6.54,18.96,21.84,23.44,10.44,9.36,37.45,10.21,9.87,Upgrade
PS Ratio,0.66,0.65,0.87,0.83,0.83,0.69,0.85,0.70,0.51,0.46,0.53,Upgrade
PB Ratio,1.57,1.56,1.63,1.35,1.41,1.09,1.27,1.29,1.17,0.93,1.00,Upgrade
P/FCF Ratio,5.91,16.09,14.94,6.56,6.10,9.67,10.97,226.25,46.11,15.50,4.94,Upgrade
P/OCF Ratio,5.07,11.07,11.36,5.96,5.62,8.45,10.23,48.75,23.07,12.21,4.70,Upgrade
EV/Sales Ratio,0.72,0.71,0.89,0.84,0.85,0.78,0.86,0.71,0.50,0.45,0.52,Upgrade
EV/EBITDA Ratio,12.21,11.25,4.99,10.79,10.54,11.27,9.02,5.17,13.16,4.99,4.78,Upgrade
EV/EBIT Ratio,17.40,15.71,5.51,13.33,12.61,14.58,11.13,5.88,20.21,5.81,5.47,Upgrade
EV/FCF Ratio,6.43,17.54,15.21,6.59,6.21,10.98,11.12,227.74,45.04,15.02,4.86,Upgrade
Debt / Equity Ratio,0.48,0.50,0.40,0.38,0.36,0.39,0.25,0.26,0.26,0.23,0.34,Upgrade
Debt / EBITDA Ratio,3.47,3.33,1.21,3.02,2.62,3.59,1.75,1.03,2.96,1.25,1.65,Upgrade
Debt / FCF Ratio,1.83,5.19,3.71,1.85,1.54,3.50,2.16,45.60,10.13,3.78,1.68,Upgrade
Asset Turnover,0.32,0.31,0.26,0.22,0.22,0.20,0.21,0.25,0.34,0.34,0.31,Upgrade
Return on Equity (ROE),5.60%,6.20%,23.70%,7.30%,6.50%,4.70%,12.40%,12.70%,3.00%,9.00%,10.00%,Upgrade
Return on Assets (ROA),0.70%,0.80%,3.40%,1.00%,0.80%,0.60%,1.70%,1.90%,0.50%,1.50%,1.70%,Upgrade
Return on Capital (ROIC),1.40%,1.50%,4.50%,1.50%,1.60%,1.10%,1.70%,3.10%,0.90%,2.70%,3.00%,Upgrade
Earnings Yield,3.51%,4.19%,15.28%,5.27%,4.58%,4.27%,9.58%,10.68%,2.67%,9.80%,10.13%,Upgrade
FCF Yield,16.91%,6.21%,6.69%,15.25%,16.40%,10.34%,9.11%,0.44%,2.17%,6.45%,20.24%,Upgrade
Dividend Yield,2.12%,2.27%,1.80%,2.01%,1.91%,2.45%,2.19%,2.37%,1.78%,1.61%,1.95%,Upgrade
Payout Ratio,61.30%,53.80%,11.60%,36.30%,41.40%,57.00%,22.80%,22.00%,65.90%,16.30%,19.00%,Upgrade
Buyback Yield / Dilution,4.42%,8.88%,4.84%,-1.39%,-4.65%,-7.66%,10.69%,10.26%,5.65%,5.80%,8.97%,Upgrade
Total Shareholder Return,6.55%,11.16%,6.64%,0.62%,-2.74%,-5.21%,12.89%,12.64%,7.44%,7.41%,10.92%,Upgrade
