Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,27,37,45,46,47,41,34
Market Cap Growth,-,-17.51%,-1.06%,-3.56%,14.83%,20.91%,-
Enterprise Value,48,61,39,47,39,29,27
PE Ratio,14.32,19.85,28.15,38.41,49.41,29.24,29.13
PS Ratio,3.09,4.24,5.47,6.31,6.03,5.45,4.61
PB Ratio,0.78,1.12,0.97,0.93,0.93,0.85,1.42
P/FCF Ratio,12.15,17.71,20.29,26.67,31.56,16.66,26.04
P/OCF Ratio,10.08,14.62,18.76,24.77,29.80,16.35,25.63
EV/Sales Ratio,5.41,6.88,4.70,6.50,4.91,3.77,3.61
EV/EBITDA Ratio,24.34,28.07,21.07,34.07,32.51,15.62,11.64
EV/EBIT Ratio,26.98,30.76,23.21,38.41,36.96,16.75,12.39
EV/FCF Ratio,21.27,28.77,17.43,27.46,25.70,11.54,20.35
Debt / Equity Ratio,0.72,0.87,0.21,0.22,0.20,-,-
Debt / EBITDA Ratio,12.72,13.42,5.42,7.96,8.42,-,-
Debt / FCF Ratio,11.11,13.76,4.48,6.41,6.65,-,-
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04
Return on Equity (ROE),5.30%,5.40%,3.40%,2.40%,1.90%,3.90%,5.00%
Return on Assets (ROA),0.70%,0.70%,0.60%,0.50%,0.50%,0.70%,0.70%
Return on Capital (ROIC),0.60%,0.70%,0.70%,0.60%,0.50%,1.00%,1.30%
Earnings Yield,6.42%,5.04%,3.55%,2.60%,2.02%,3.42%,3.43%
FCF Yield,8.23%,5.65%,4.93%,3.75%,3.17%,6.00%,3.84%
Dividend Yield,2.36%,1.38%,0.87%,0.56%,0.60%,0.17%,0.27%
Payout Ratio,21.50%,26.10%,23.60%,21.10%,27.60%,4.90%,7.60%
Buyback Yield / Dilution,4.14%,4.90%,4.96%,10.12%,1.07%,0.01%,-
Total Shareholder Return,6.50%,6.28%,5.82%,10.68%,1.67%,0.18%,0.27%
