Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"56,507","51,043","72,609","54,507","44,823","26,832","28,208","18,024","19,837","19,986","16,879",Upgrade
Market Cap Growth,-,-29.70%,33.21%,21.61%,67.05%,-4.88%,56.50%,-9.14%,-0.74%,18.41%,50.49%,Upgrade
Enterprise Value,"62,133","57,047","78,680","58,754","49,048","30,690","32,565","19,163","20,986","20,856","16,874",Upgrade
PE Ratio,41.10,37.15,32.80,30.66,31.52,20.48,28.18,67.61,21.07,20.21,20.98,Upgrade
PS Ratio,10.42,9.34,11.68,10.15,9.28,6.04,6.71,5.00,5.69,5.99,5.68,Upgrade
PB Ratio,19.51,20.26,26.63,34.74,73.24,58.46,-86.08,-14.71,-35.11,-106.42,50.09,Upgrade
P/FCF Ratio,42.90,42.86,38.91,26.68,27.91,19.59,42.48,15.76,17.89,21.17,19.08,Upgrade
P/OCF Ratio,35.00,34.63,36.21,25.40,26.76,18.37,37.36,14.31,16.56,19.62,18.21,Upgrade
EV/Sales Ratio,11.47,10.43,12.65,10.94,10.16,6.91,7.75,5.32,6.02,6.25,5.68,Upgrade
EV/EBITDA Ratio,27.94,24.57,24.72,22.13,22.18,14.83,15.17,23.01,13.12,12.59,12.56,Upgrade
EV/EBIT Ratio,33.00,28.65,26.89,24.13,24.39,16.35,16.37,27.14,14.12,13.36,13.50,Upgrade
EV/FCF Ratio,47.25,47.90,42.16,28.76,30.54,22.40,49.04,16.75,18.92,22.09,19.08,Upgrade
Debt / Equity Ratio,2.74,3.12,2.92,4.43,10.06,12.37,-16.91,-2.75,-5.98,-13.56,6.24,Upgrade
Debt / EBITDA Ratio,3.56,3.39,2.50,2.62,2.78,2.74,2.58,4.04,2.11,1.54,1.56,Upgrade
Debt / FCF Ratio,6.02,6.60,4.27,3.40,3.83,4.14,8.34,2.94,3.05,2.70,2.38,Upgrade
Current Ratio,1.48,1.72,1.61,2.03,1.92,1.61,1.25,1.34,2.66,2.24,2.60,Upgrade
Asset Turnover,0.38,0.38,0.46,0.46,0.50,0.50,0.58,0.70,0.70,0.71,0.73,Upgrade
Return on Equity (ROE),55.30%,58.10%,94.50%,151.70%,364.50%,402.60%,-173.80%,-35.90%,-216.40%,442.60%,211.30%,Upgrade
Return on Assets (ROA),9.60%,9.60%,16.40%,15.20%,14.60%,14.70%,13.90%,5.20%,19.00%,21.00%,19.80%,Upgrade
Return on Capital (ROIC),18.90%,19.80%,33.30%,29.40%,27.80%,32.70%,36.90%,18.20%,36.00%,51.70%,54.10%,Upgrade
Earnings Yield,2.44%,2.69%,3.05%,3.26%,3.17%,4.88%,3.55%,1.48%,4.75%,4.95%,4.77%,Upgrade
FCF Yield,2.33%,2.33%,2.57%,3.75%,3.58%,5.11%,2.35%,6.35%,5.59%,4.72%,5.24%,Upgrade
Dividend Yield,0.93%,1.27%,0.64%,0.78%,0.85%,1.28%,1.05%,1.60%,1.39%,1.20%,1.19%,Upgrade
Payout Ratio,47.60%,46.90%,20.90%,23.60%,26.60%,25.70%,29.00%,107.20%,28.90%,23.90%,24.50%,Upgrade
Buyback Yield / Dilution,1.07%,1.70%,0.74%,1.20%,1.44%,-0.10%,0.61%,3.93%,5.26%,3.94%,1.37%,Upgrade
Total Shareholder Return,2.01%,2.97%,1.38%,1.98%,2.30%,1.17%,1.66%,5.54%,6.66%,5.14%,2.56%,Upgrade
