Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,433,607,715,534,700,561,654,686,450,296,320,Upgrade
Market Cap Growth,-,-15.09%,33.99%,-23.73%,24.83%,-14.24%,-4.76%,52.56%,52.16%,-7.58%,23.60%,Upgrade
Enterprise Value,888,841,750,635,962,835,"1,162","1,198",943,812,799,Upgrade
PE Ratio,7.59,9.88,10.36,8.97,12.23,10.56,22.96,17.13,21.47,12.03,14.04,Upgrade
PS Ratio,2.42,3.30,3.76,3.06,4.19,3.55,4.33,4.66,4.02,3.01,3.16,Upgrade
PB Ratio,0.93,1.35,1.32,1.01,1.48,1.29,1.62,1.75,1.24,1.21,1.38,Upgrade
P/FCF Ratio,5.76,5.87,5.08,34.87,24.46,9.33,11.75,12.29,35.34,10.35,11.33,Upgrade
P/OCF Ratio,5.62,5.77,5.01,29.28,21.29,8.71,11.21,11.95,28.26,9.89,10.76,Upgrade
EV/Sales Ratio,4.96,4.57,3.94,3.64,5.76,5.29,7.70,8.13,8.42,8.25,7.89,Upgrade
EV/EBITDA Ratio,11.29,9.97,7.73,7.64,12.26,11.48,16.36,17.88,24.79,19.33,19.37,Upgrade
EV/EBIT Ratio,12.33,10.92,8.66,8.53,13.44,12.70,18.64,20.83,30.55,22.55,22.87,Upgrade
EV/FCF Ratio,11.81,8.13,5.33,41.47,33.63,13.90,20.89,21.46,74.06,28.42,28.28,Upgrade
Debt / Equity Ratio,1.14,0.69,0.47,0.47,0.71,0.78,1.52,1.53,1.58,2.35,2.29,Upgrade
Debt / EBITDA Ratio,6.75,3.67,2.64,2.97,4.31,4.69,8.61,8.95,15.05,13.74,12.86,Upgrade
Debt / FCF Ratio,7.06,2.99,1.82,16.12,11.81,5.69,10.99,10.74,44.97,20.20,18.77,Upgrade
Asset Turnover,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),12.80%,13.60%,12.80%,11.60%,12.30%,12.70%,7.00%,10.40%,7.40%,10.30%,9.80%,Upgrade
Return on Assets (ROA),1.00%,1.10%,1.30%,1.20%,1.30%,1.30%,0.70%,1.00%,0.70%,0.90%,0.90%,Upgrade
Return on Capital (ROIC),1.20%,1.40%,1.70%,1.50%,1.60%,1.50%,1.40%,1.30%,0.90%,1.10%,1.20%,Upgrade
Earnings Yield,13.26%,10.12%,9.65%,11.15%,8.17%,9.47%,4.36%,5.84%,4.66%,8.31%,7.12%,Upgrade
FCF Yield,17.36%,17.04%,19.70%,2.87%,4.09%,10.71%,8.51%,8.14%,2.83%,9.66%,8.83%,Upgrade
Dividend Yield,5.53%,3.87%,2.95%,3.72%,2.65%,3.07%,2.19%,1.81%,2.15%,2.73%,2.54%,Upgrade
Payout Ratio,41.40%,38.30%,30.50%,33.30%,32.40%,32.40%,50.30%,30.90%,46.20%,32.90%,35.60%,Upgrade
Buyback Yield / Dilution,1.29%,1.81%,0.35%,2.78%,1.11%,-0.24%,-0.54%,-28.40%,-7.75%,2.39%,0.10%,Upgrade
Total Shareholder Return,6.82%,5.68%,3.30%,6.49%,3.76%,2.82%,1.65%,-26.60%,-5.61%,5.12%,2.64%,Upgrade
