Year,Current,2022,2021
Market Capitalization,216,211,205
Market Cap Growth,-,3.20%,-
Enterprise Value,216,211,203
PE Ratio,18.08,17.58,-57.20
PB Ratio,-23.46,-23.46,-11.02
P/FCF Ratio,-99.85,-99.85,-256.73
P/OCF Ratio,-99.85,-99.85,-256.73
EV/EBITDA Ratio,17.97,17.58,-56.77
EV/EBIT Ratio,17.97,17.58,-56.77
EV/FCF Ratio,-99.85,-99.85,-254.76
Debt / Equity Ratio,0.00,0.00,-
Debt / EBITDA Ratio,0.00,0.00,-
Debt / FCF Ratio,-0.02,-0.02,-
Current Ratio,0.11,0.11,1.25
Return on Equity (ROE),-120.40%,-120.40%,46.70%
Return on Assets (ROA),7.10%,7.10%,-4.20%
Return on Capital (ROIC),7.20%,7.20%,-4.20%
Earnings Yield,5.56%,5.69%,-1.75%
FCF Yield,-0.98%,-1.00%,-0.39%
Buyback Yield / Dilution,-58.49%,-58.49%,-
Total Shareholder Return,-58.49%,-58.49%,-
